order,departNumber,goodsCode,barCode,count,cost,nds,ndsSum,discountValue,costWithDiscount,amount,dateCommit,insertType
43,1,197965,2000000050775,1.000,282.22,10.0,21.81,42.33,239.89,239.89,2025-04-29T15:38:32.911+07:00,0
10,1,198696,4607120239233,2.000,33.86,10.0,5.23,10.16,28.78,57.56,2025-04-29T15:35:50.400+07:00,0
49,1,109224,4610117730088,1.000,123.51,10.0,9.54,18.53,104.98,104.98,2025-04-29T15:39:02.793+07:00,0
40,1,05316,2105316,0.372,1147.05,10.0,32.97,64.00,974.99,362.70,2025-04-29T15:38:23.269+07:00,0
31,1,58260,4607046123906,1.000,163.48,10.0,12.63,24.52,138.96,138.96,2025-04-29T15:37:41.532+07:00,0
47,1,202337,4607035895517,1.000,387.96,20.0,41.65,138.06,249.90,249.90,2025-04-29T15:38:53.659+07:00,0
46,1,193428,4640033505408,1.000,91.49,20.0,12.96,13.72,77.77,77.77,2025-04-29T15:38:48.694+07:00,0
14,1,193985,4601674086282,1.000,223.52,20.0,31.67,33.53,189.99,189.99,2025-04-29T15:36:02.821+07:00,0
7,1,144875,4630014403038,1.000,141.14,20.0,20.00,21.17,119.97,119.97,2025-04-29T15:35:33.181+07:00,0
11,1,179767,4660085513787,1.000,199.99,20.0,26.32,42.09,157.90,157.90,2025-04-29T15:35:53.866+07:00,0
17,1,196679,4660013571544,1.000,352.91,20.0,50.00,52.94,299.97,299.97,2025-04-29T15:36:20.037+07:00,0
26,1,193735,4610092760438,1.000,172.67,20.0,24.46,25.90,146.77,146.77,2025-04-29T15:37:19.633+07:00,0
28,1,10496,2110496,0.386,435.16,10.0,9.47,63.79,269.90,104.18,2025-04-29T15:37:30.083+07:00,0
29,1,159972,4680038240874,1.000,105.87,20.0,15.00,15.88,89.99,89.99,2025-04-29T15:37:33.623+07:00,0
16,1,196681,4607082851719,1.000,352.89,20.0,49.99,52.93,299.96,299.96,2025-04-29T15:36:15.222+07:00,0
21,1,170666,7622210700391,1.000,317.61,20.0,39.98,77.71,239.90,239.90,2025-04-29T15:36:59.328+07:00,0
27,1,192424,4600697202686,1.000,287.98,20.0,40.80,43.20,244.78,244.78,2025-04-29T15:37:28.314+07:00,0
4,1,184062,4690388110130,1.000,129.14,10.0,8.17,39.24,89.90,89.90,2025-04-29T15:35:22.037+07:00,0
19,1,111870,1000001118703,4.000,58.71,10.0,18.15,35.24,49.90,199.60,2025-04-29T15:36:44.166+07:00,1
8,1,196409,4620006501873,1.000,29.39,20.0,4.16,4.41,24.98,24.98,2025-04-29T15:35:43.430+07:00,0
32,1,192858,4690679006623,1.000,115.05,10.0,8.89,17.26,97.79,97.79,2025-04-29T15:37:44.901+07:00,0
30,1,190573,4610117489160,1.000,352.88,10.0,27.27,52.93,299.95,299.95,2025-04-29T15:37:37.298+07:00,0
1,1,40766,1000000407662,4.000,10.58,20.0,5.99,6.36,8.99,35.96,2025-04-29T15:35:14.879+07:00,0
48,1,109224,4610117730088,1.000,123.51,10.0,9.54,18.53,104.98,104.98,2025-04-29T15:38:56.914+07:00,0
50,1,63622,3083680714648,2.000,317.64,20.0,49.97,335.48,149.90,299.80,2025-04-29T15:39:10.178+07:00,0
20,1,20775,4607043854605,1.000,47.04,10.0,3.63,7.06,39.98,39.98,2025-04-29T15:36:55.825+07:00,0
24,1,103996,4690679000164,1.000,78.81,10.0,6.09,11.82,66.99,66.99,2025-04-29T15:37:08.734+07:00,0
6,1,135257,4607132012312,1.000,82.11,20.0,11.63,12.32,69.79,69.79,2025-04-29T15:35:29.705+07:00,0
